ERROR: system: AutoSpawner is already defined in that package
INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
<AdvancedMachines:blockAdvMachine>, §6Роторный дробитель
<Botania:manaBeacon>, Белый нестабильный маяк
<Botania:manaBomb>, Manastorm Charge
<Botania:manaBottle>, Мана в бутылке
<Botania:manaCookie>, Печенье маны
<Botania:manaDetector>, Детектор маны
<Botania:manaFlame>, Mana Flash
<Botania:manaGlass>, Managlass
<Botania:manaGlassPane>, Managlass Pane
<Botania:manaGun>, Излучатель
<Botania:manaInkwell>, Botanurgist's Inkwell
<Botania:manaMirror>, Зеркало маны
<Botania:manaResource>, Слиток манастали
<Botania:manaRing>, Кольцо маны
<Botania:manaRingGreater>, Сильное кольцо маны
<Botania:manaTablet>, Планшет маны
<Botania:manaVoid>, Пустота маны
<Botania:manasteelAxe>, Топор из манастали
<Botania:manasteelBoots>, Ботинки из манастали
<Botania:manasteelChest>, Кираса из манастали
<Botania:manasteelHelm>, Шлем из манастали
<Botania:manasteelHelmReveal>, Шлем откровения из манастали
<Botania:manasteelLegs>, Поножи из манастали
<Botania:manasteelPick>, Кирка из манастали
<Botania:manasteelShears>, Ножницы из манастали
<Botania:manasteelShovel>, Лопата из манастали
<Botania:manasteelSword>, Меч из манастали
<Botania:manaweaveBoots>, Manaweave Boots
<Botania:manaweaveChest>, Manaweave Robe Top
<Botania:manaweaveHelm>, Manaweave Cowl
<Botania:manaweaveLegs>, Manaweave Robe Bottom
<Botania:miniIsland>, Парящий белый цветок
<Botania:miningRing>, Кольцо шахтёра
<Botania:missileRod>, Rod of the Unstable Reservoir
<Botania:monocle>, Manaseer Monocle
<Botania:mushroom>, White Shimmering Mushroom
<Botania:obedienceStick>, Floral Obedience Stick
<Botania:odinRing>, Ring of Odin
<Botania:openBucket>, Экстраполированное ведро
<Botania:openCrate>, Открытый ящик
<Botania:overgrowthSeed>, Overgrowth Seed
<Botania:pavement>, White Portuguese Pavement
<Botania:pavement0Slab>, White Portuguese Pavement Slab
<Botania:pavement0SlabFull>, White Portuguese Pavement Slab
<Botania:pavement0Stairs>, White Portuguese Pavement Stairs
<Botania:pavement1Slab>, Black Portuguese Pavement Slab
<Botania:pavement1SlabFull>, Black Portuguese Pavement Slab
<Botania:pavement1Stairs>, Black Portuguese Pavement Stairs
<Botania:pavement2Slab>, Blue Portuguese Pavement Slab
<Botania:pavement2SlabFull>, Blue Portuguese Pavement Slab
<Botania:pavement2Stairs>, Blue Portuguese Pavement Stairs
<Botania:pavement3Slab>, Red Portuguese Pavement Slab
<Botania:pavement3SlabFull>, Red Portuguese Pavement Slab
<Botania:pavement3Stairs>, Red Portuguese Pavement Stairs
<Botania:pavement4Slab>, Yellow Portuguese Pavement Slab
<Botania:pavement4SlabFull>, Yellow Portuguese Pavement Slab
<Botania:pavement4Stairs>, Yellow Portuguese Pavement Stairs
<Botania:pavement5Slab>, Green Portuguese Pavement Slab
<Botania:pavement5SlabFull>, Green Portuguese Pavement Slab
<Botania:pavement5Stairs>, Green Portuguese Pavement Stairs
<Botania:pestleAndMortar>, Пестик и ступка
<Botania:petal>, Мистический белый лепесток
<Botania:petalBlock>, White Petal Block
<Botania:phantomInk>, Phantom Ink
<Botania:pinkinator>, The Pinkinator
<Botania:pistonRelay>, Силовое реле
<Botania:pixieRing>, Великое кольцо фей
<Botania:platform>, Заумная платформа
<Botania:pool>, Бассейн маны
<Botania:poolMinecart>, Minecart with Mana Pool
<Botania:prism>, Mana Prism
<Botania:prismarine>, Призмарин
<Botania:prismarine0Slab>, Плита из призмарина
<Botania:prismarine0SlabFull>, Prismarine Slab
<Botania:prismarine0Stairs>, Ступеньки из призмарина
<Botania:prismarine0Wall>, Prismarine Wall
<Botania:prismarine1Slab>, Плита из призмаринового кирпича
<Botania:prismarine1SlabFull>, Prismarine Brick Slab
<Botania:prismarine1Stairs>, Ступеньки из призмаринового кирпича
<Botania:prismarine2Slab>, Плита из тёмного призмарина
<Botania:prismarine2SlabFull>, Dark Prismarine Slab
<Botania:prismarine2Stairs>, Ступеньки из тёмного призмарина
<Botania:pump>, Mana Pump
<Botania:pylon>, Пилон маны
<Botania:quartz>, Дымной кварц
<Botania:quartzSlabBlazeFull>, Blaze Quartz Slab
<Botania:quartzSlabBlazeHalf>, Плита из пламенного кварца
<Botania:quartzSlabDarkFull>, Smokey Quartz Slab
<Botania:quartzSlabDarkHalf>, Плита из дымного кварца
<Botania:quartzSlabElfFull>, Elven Quartz Slab
<Botania:quartzSlabElfHalf>, Плита из эльфийского кварца
<Botania:quartzSlabLavenderFull>, Lavender Quartz Slab
<Botania:quartzSlabLavenderHalf>, Плита из лавандового кварца
<Botania:quartzSlabManaFull>, Mana Quartz Slab
<Botania:quartzSlabManaHalf>, Плита из манакварца
<Botania:quartzSlabRedFull>, Redquartz Slab
<Botania:quartzSlabRedHalf>, Плита из красного кварца
<Botania:quartzSlabSunnyFull>, Sunny Quartz Slab
<Botania:quartzSlabSunnyHalf>, Sunny Quartz Slab
<Botania:quartzStairsBlaze>, Ступеньки из пламенного кварца
<Botania:quartzStairsDark>, Ступеньки из дымного кварца
<Botania:quartzStairsElf>, Ступеньки из эльфийского кварца
<Botania:quartzStairsLavender>, Ступеньки из лавандового кварца
<Botania:quartzStairsMana>, Ступеньки из манакварца
<Botania:quartzStairsRed>, Ступеньки из красного кварца
<Botania:quartzStairsSunny>, Sunny Quartz Stairs
<Botania:quartzTypeBlaze>, Блок пламенного кварца
<Botania:quartzTypeDark>, Блок дымного кварца
<Botania:quartzTypeElf>, Блок эльфийского кварца
<Botania:quartzTypeLavender>, Блок лавандового кварца
<Botania:quartzTypeMana>, Блок манакварца
<Botania:quartzTypeRed>, Блок красного кварца
<Botania:quartzTypeSunny>, Block of Sunny Quartz
<Botania:rainbowRod>, Жезл Биврёста
<Botania:reachRing>, Кольцо дальнего богатства
<Botania:recordGaia1>, Scathed Music Disc
<Botania:recordGaia2>, Scathed Music Disc
<Botania:redStringComparator>, Red Stringed Comparator
<Botania:redStringContainer>, Red Stringed Container
<Botania:redStringDispenser>, Red Stringed Dispenser
<Botania:redStringFertilizer>, Red Stringed Nutrifier
<Botania:redStringInterceptor>, Red Stringed Interceptor
<Botania:redStringRelay>, Red Stringed Spoofer
<Botania:reedBlock>, Тростниковый блок
<Botania:reedBlock0Slab>, Тростниковая плита
<Botania:reedBlock0SlabFull>, Reed Slab
<Botania:reedBlock0Stairs>, Тростниковые ступеньки
<Botania:reedBlock0Wall>, Reed Block Wall
<Botania:regenIvy>, Бессмертный плющ
<Botania:rfGenerator>, Мана-RF преобразователь
<Botania:root>, Living Root
<Botania:rune>, Руна воды
<Botania:runeAltar>, Рунический алтарь
<Botania:seaLamp>, Морской светильник
<Botania:sextant>, Worldshaper's Sextant
<Botania:shimmerrock>, Shimmerrock
<Botania:shimmerrock0Slab>, Shimmerrock Slab
<Botania:shimmerrock0SlabFull>, Shimmerrock Slab
<Botania:shimmerrock0Stairs>, Shimmerrock Stairs
<Botania:shimmerwoodPlanks>, Shimmerwood Planks
<Botania:shimmerwoodPlanks0Slab>, Shimmerwood Plank Slab
<Botania:shimmerwoodPlanks0SlabFull>, Shimmerwood Plank Slab
<Botania:shimmerwoodPlanks0Stairs>, Shimmerwood Plank Stairs
<Botania:shinyFlower>, Светящийся белый цветок
<Botania:signalFlare>, Сигнальная ракета
<Botania:skyDirtRod>, Жезл Высокогорья
<Botania:slimeBottle>, Slime in a Bottle
<Botania:slingshot>, Рогатка из жизнедерева
<Botania:smeltRod>, Rod of the Molten Core
<Botania:solidVine>, tile.botania:solidVine.name
<Botania:spark>, Искра
<Botania:sparkChanger>, Spark Tinkerer
<Botania:sparkUpgrade>, Дополнитель искр: Рассеиватель
<Botania:spawnerClaw>, Вдох жизни
<Botania:spawnerMover>, Агрегатор жизни
<Botania:specialFlower>, Цветок Botania
<Botania:speedUpBelt>, Planestrider's Sash
<Botania:spellCloth>, Spellbinding Cloth
<Botania:spreader>, Распространитель маны
<Botania:starSword>, Starcaller
<Botania:starfield>, Творец созвездий
<Botania:stone>, Andesite
<Botania:stone0Slab>, Andesite Slab
<Botania:stone0SlabFull>, Andesite Slab
<Botania:stone0Stairs>, Andesite Stairs
<Botania:stone0Wall>, Andesite Wall
<Botania:stone10Slab>, Diorite Brick Slab
<Botania:stone10SlabFull>, Diorite Brick Slab
<Botania:stone10Stairs>, Diorite Brick Stairs
<Botania:stone11Slab>, Granite Brick Slab
<Botania:stone11SlabFull>, Granite Brick Slab
<Botania:stone11Stairs>, Granite Brick Stairs
<Botania:stone1Slab>, Basalt Slab
<Botania:stone1SlabFull>, Basalt Slab
<Botania:stone1Stairs>, Basalt Stairs
<Botania:stone2Slab>, Diorite Slab
<Botania:stone2SlabFull>, Diorite Slab
<Botania:stone2Stairs>, Diorite Stairs
<Botania:stone3Slab>, Granite Slab
<Botania:stone3SlabFull>, Granite Slab
<Botania:stone3Stairs>, Granite Stairs
<Botania:stone8Slab>, Andesite Brick Slab
<Botania:stone8SlabFull>, Andesite Brick Slab
<Botania:stone8Stairs>, Andesite Brick Stairs
<Botania:stone9Slab>, Basalt Brick Slab
<Botania:stone9SlabFull>, Basalt Brick Slab
<Botania:stone9Stairs>, Basalt Brick Stairs
<Botania:storage>, Блок манастали
<Botania:superLavaPendant>, Багровый кулон
<Botania:superTravelBelt>, Кушак Пилигрима
<Botania:swapRing>, Ring of Correction
<Botania:temperanceStone>, Stone of Temperance
<Botania:terraAxe>, Terra Truncator
<Botania:terraPick>, Землекрушитель
<Botania:terraPlate>, Terrestrial Agglomeration Plate
<Botania:terraSword>, Терралезвие
<Botania:terraformRod>, Жезл Терраформер
<Botania:terrasteelBoots>, Ботинки из террастали
<Botania:terrasteelChest>, Кираса из террастали
<Botania:terrasteelHelm>, Шлем из террастали
<Botania:terrasteelHelmReveal>, Шлем откровения из террастали
<Botania:terrasteelLegs>, Поножи из террастали
<Botania:teruTeruBozu>, Teru Teru Bozu
<Botania:thatch>, Солома
<Botania:thatch0Slab>, Соломенная плита
<Botania:thatch0SlabFull>, Thatch Slab
<Botania:thatch0Stairs>, Соломенные ступеньки
<Botania:thorRing>, Ring of Thor
<Botania:thornChakram>, Thorn Chakram
<Botania:thunderSword>, Thundercaller
<Botania:tinyPlanet>, Микропланета
<Botania:tinyPlanetBlock>, Микропланета
<Botania:tinyPotato>, Миникартофель
<Botania:tornadoRod>, Жезл небес
<Botania:travelBelt>, Пояс странника
<Botania:turntable>, Поворотный стол
<Botania:twigWand>, Посох леса
<Botania:unholyCloak>, Cloak of Sin
<Botania:unstableBlock>, Белый нестабильный куб
<Botania:vial>, Managlass Vial
<Botania:vineBall>, Шар лозы
<Botania:virus>, Некродермальный вирус
<Botania:waterBowl>, Bowl of Water
<Botania:waterRing>, Кольцо хордовых
<Botania:waterRod>, Жезл морей
<Botania:worldSeed>, World Seed
<BuildCraft|Builders:architectBlock>, Стол архитектора
<BuildCraft|Builders:blueprintItem>, Строительный проект
<BuildCraft|Builders:builderBlock>, Строитель
<BuildCraft|Builders:constructionMarkerBlock>, Строительная метка
<BuildCraft|Builders:fillerBlock>, Заполнитель
<BuildCraft|Builders:frameBlock>, Каркас
<BuildCraft|Builders:libraryBlock>, Библиотека проектов
<BuildCraft|Builders:machineBlock>, Карьер
<BuildCraft|Builders:templateItem>, Чертёж
<BuildCraft|Core:buildToolBlock>, tile.buildToolBlock.name
<BuildCraft|Core:debugger>, Отладчик
<BuildCraft|Core:diamondGearItem>, Алмазная шестерня
<BuildCraft|Core:engineBlock>, Двигатель на красном камне
<BuildCraft|Core:eternalSpring>, Источник воды
<BuildCraft|Core:goldGearItem>, Золотая шестерня
<BuildCraft|Core:ironGearItem>, Железная шестерня
<BuildCraft|Core:list>, Список
<BuildCraft|Core:mapLocation>, Карта расположения
<BuildCraft|Core:markerBlock>, Метка
<BuildCraft|Core:paintbrush>, Кисточка
<BuildCraft|Core:pathMarkerBlock>, Направляющая Метка
<BuildCraft|Core:stoneGearItem>, Каменная шестерня
<BuildCraft|Core:woodenGearItem>, Деревянная шестерня
<BuildCraft|Core:wrenchItem>, Гаечный ключ
<BuildCraft|Energy:blockFuel>, Топливо
<BuildCraft|Energy:blockOil>, Нефть
<BuildCraft|Energy:blockRedPlasma>, tile.blockRedPlasma.name
<BuildCraft|Energy:bucketFuel>, Ведро топлива
<BuildCraft|Energy:bucketOil>, Ведро нефти
<BuildCraft|Factory:autoWorkbenchBlock>, Автоматический верстак
<BuildCraft|Factory:blockHopper>, Воронка
<BuildCraft|Factory:floodGateBlock>, Шлюз
<BuildCraft|Factory:miningWellBlock>, Буровая установка
<BuildCraft|Factory:plainPipeBlock>, Буровая труба
<BuildCraft|Factory:pumpBlock>, Помпа
<BuildCraft|Factory:refineryBlock>, Нефтеперегонная вышка
<BuildCraft|Factory:tankBlock>, Цистерна
<BuildCraft|Robotics:redstone_board>, Красная плата
<BuildCraft|Robotics:requester>, Инициатор запроса
<BuildCraft|Robotics:robot>, Робот
